image_base=0x400000  type_descriptors=389  COLs=442  vtables=392
vtable_va,col_va,base_offset,class,mangled
0x009B95A0,0x009C09E0,0,$02::VCResTGA::?$CResHelper,.?AV?$CResHelper@VCResTGA@@$02@@
0x0099C380,0x009BCC60,0,$03::VCResWave::?$CResHelper,.?AV?$CResHelper@VCResWave@@$03@@
0x009B9590,0x009C094C,0,$05::VCResPLT::?$CResHelper,.?AV?$CResHelper@VCResPLT@@$05@@
0x00986D0C,0x009B9CD0,0,$0A::UItemInstalled_t::VSteamCallbacks::?$CCallback,.?AV?$CCallback@VSteamCallbacks@@UItemInstalled_t@@$0A@@@
0x009B9570,0x009C0824,0,$0HNC::VCResMDL::?$CResHelper,.?AV?$CResHelper@VCResMDL@@$0HNC@@@
0x0099B618,0x009BCAA4,0,$0HNJ::VCResNSS::?$CResHelper,.?AV?$CResHelper@VCResNSS@@$0HNJ@@@
0x0099B690,0x009BCB38,0,$0HNK::VCResNCS::?$CResHelper,.?AV?$CResHelper@VCResNCS@@$0HNK@@@
0x00993968,0x009BBEA0,0,$0HNM::VCResARE::?$CResHelper,.?AV?$CResHelper@VCResARE@@$0HNM@@@
0x00994EA4,0x009BC104,0,$0HNO::VCResIFO::?$CResHelper,.?AV?$CResHelper@VCResIFO@@$0HNO@@@
0x0099C48C,0x009BCD1C,0,$0HOB::VCRes2DA::?$CResHelper,.?AV?$CResHelper@VCRes2DA@@$0HOB@@@
0x009B95D0,0x009C0B9C,0,$0HOG::VCResTXI::?$CResHelper,.?AV?$CResHelper@VCResTXI@@$0HOG@@@
0x009B9580,0x009C08B8,0,$0HPB::VCResDDS::?$CResHelper,.?AV?$CResHelper@VCResDDS@@$0HPB@@@
0x009B96B4,0x009C0F20,0,$0HPE::VCResLTR::?$CResHelper,.?AV?$CResHelper@VCResLTR@@$0HPE@@@
0x009B95F0,0x009C0CC4,0,$0IAL::VCRes4PC::?$CResHelper,.?AV?$CResHelper@VCRes4PC@@$0IAL@@@
0x009A4544,0x009BE684,0,$0IAM::VCResSSF::?$CResHelper,.?AV?$CResHelper@VCResSSF@@$0IAM@@@
0x0099C568,0x009BCDF8,0,$0LLI::VCResLYT::?$CResHelper,.?AV?$CResHelper@VCResLYT@@$0LLI@@@
0x009B95C0,0x009C0B08,0,$0LLJ::VCResVIS::?$CResHelper,.?AV?$CResHelper@VCResVIS@@$0LLJ@@@
0x009B96E8,0x009C1000,0,$0LLM::VCResLIP::?$CResHelper,.?AV?$CResHelper@VCResLIP@@$0LLM@@@
0x009B95B0,0x009C0A74,0,$0LLP::VCResTPC::?$CResHelper,.?AV?$CResHelper@VCResTPC@@$0LLP@@@
0x009B95E0,0x009C0C30,0,$0LMA::VCResMDX::?$CResHelper,.?AV?$CResHelper@VCResMDX@@$0LMA@@@
0x009886C4,0x009BA604,0,?A0x5e0537a8::RequestPoolManager,.?AVRequestPoolManager@?A0x5e0537a8@@
0x009886F8,0x009BA698,0,?A0x5e0537a8::RequestPoolManagerSys,.?AVRequestPoolManagerSys@?A0x5e0537a8@@
0x00988690,0x009BA64C,0,?A0x5e0537a8::RequestPoolManagerVBO,.?AVRequestPoolManagerVBO@?A0x5e0537a8@@
0x0098D8D4,0x009BB2F4,0,ArturoTextureController,.?AVArturoTextureController@@
0x0099EB6C,0x009BD654,0,AspyrFloatingButtonIcon,.?AVAspyrFloatingButtonIcon@@
0x0099C478,0x009BCC9C,0,C2DA,.?AVC2DA@@
0x00991898,0x009BB920,0,CAurBehavior,.?AVCAurBehavior@@
0x009918D8,0x009BB968,0,CAurBehaviorAttach,.?AVCAurBehaviorAttach@@
0x00991980,0x009BBA54,0,CAurBehaviorAttachNoOrientation,.?AVCAurBehaviorAttachNoOrientation@@
